empresa,titulo,link,data_abertura,data_fechamento
Itaú,Analista Dados Analytics JR - Infra Canais Fisicos - Exclusivo para Profissionais com Deficiência,https://vemproitau.gupy.io/jobs/9249690?jobBoardSource=gupy_public_page,2025-06-13,
C&A,Analista de Dados | Time Jurídico - Legal Operations,https://cea.gupy.io/jobs/9106971?jobBoardSource=gupy_public_page,2025-06-13,
Itaú,Cientista de Dados - exclusivo para profissionais com deficiência,https://vemproitau.gupy.io/jobs/9197164?jobBoardSource=gupy_public_page,2025-06-13,2025-07-10
Itaú,Carreiras de Dados 🧡 Exclusiva para Profissionais com Deficiência,https://vemproitau.gupy.io/jobs/5247042?jobBoardSource=gupy_public_page,2025-06-13,
Boticário,Analytics Engineer I (Diretoria de Dados) ·,https://grupoboticario.gupy.io/jobs/8958586?jobBoardSource=gupy_public_page,2025-06-13,2025-06-15
Boticário,Analista de Qualidade II - Dados e Indicadores - Híbrido - Camaçari/BA ou São José dos Pinhais/PR,https://grupoboticario.gupy.io/jobs/9234429?jobBoardSource=gupy_public_page,2025-06-13,2025-06-18
Itaú,Analista de Politicas de Recuperação de Crédito SR. - Analytics 🧡🚀,https://vemproitau.gupy.io/jobs/9216955?jobBoardSource=gupy_public_page,2025-06-13,2025-07-10
Itaú,Engenharia de Dados para Governança de Dados,https://vemproitau.gupy.io/jobs/9215583?jobBoardSource=gupy_public_page,2025-06-13,2025-07-14
Raízen,Data Viz Jr | Analista Digital Jr | Power BI | Remoto,https://genteraizen.gupy.io/jobs/9156480?jobBoardSource=gupy_public_page,2025-06-13,
Itaú,Analista de Dados e Analytics PL - Exclusivo para Profissionais com Deficiência,https://vemproitau.gupy.io/jobs/9229983?jobBoardSource=gupy_public_page,2025-06-13,2025-06-17
Itaú,Product Designer Jr - Exclusivo para profissionais com deficiência,https://vemproitau.gupy.io/jobs/9126252?jobBoardSource=gupy_public_page,2025-06-13,2025-07-04
Itaú,Pessoa Analista de Produtos Pleno 🧡🚀,https://vemproitau.gupy.io/jobs/7344814?jobBoardSource=gupy_public_page,2025-06-13,
Raízen,Analista Logística I (Foco em Dados),https://genteraizen.gupy.io/jobs/9193721?jobBoardSource=gupy_public_page,2025-06-13,
Boticário,Machine Learning Engineer III (Diretoria de Dados),https://grupoboticario.gupy.io/jobs/9262736?jobBoardSource=gupy_public_page,2025-06-13,
Itaú,Product Designer Pleno - Exclusivo para profissionais com deficiência,https://vemproitau.gupy.io/jobs/8986796?jobBoardSource=gupy_public_page,2025-06-13,2025-07-04
Itaú,Consultor(a) de Dados e Analytics Pleno,https://vemproitau.gupy.io/jobs/9123061?jobBoardSource=gupy_public_page,2025-06-13,2025-06-26
Boticário,Analista de Dados III - Crédito e Cobrança PJ,https://grupoboticario.gupy.io/jobs/8976330?jobBoardSource=gupy_public_page,2025-06-13,2025-06-20
Localiza,CIENTISTA DE DADOS PLENO | Remoto,https://localiza.gupy.io/jobs/9322387?jobBoardSource=gupy_public_page,2025-06-13,
C&A,Analista de BI Pleno (Planejamento vendas),https://cea.gupy.io/jobs/9205616?jobBoardSource=gupy_public_page,2025-06-13,2025-06-16
Itaú,Gerente de Operações e Produtos Digitais de Corretora,https://vemproitau.gupy.io/jobs/8994293?jobBoardSource=gupy_public_page,2025-06-13,2025-06-14
Boticário,Especialista I Saúde de Portfólio de Produto,https://grupoboticario.gupy.io/jobs/9283330?jobBoardSource=gupy_public_page,2025-06-13,2025-06-14
Itaú,Estag Experience | Análise de Dados nos Negócios,https://vemproitau.gupy.io/jobs/6744040?jobBoardSource=gupy_public_page,2025-06-13,2025-06-18
Localiza,COORDENADOR DE GESTAO DE PRODUTOS | BELO HORIZONTE / MG,https://localiza.gupy.io/jobs/9320540?jobBoardSource=gupy_public_page,2025-06-13,
